trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
65,False,"{'a': 0.9, 'e': 0.00023668639053254438}",25,16,15.614535995963832,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.9, 'e': 0.0002295684113865932}",25,8,34.174348170712626,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.9, 'e': 0.00022276676319893073}",25,7,31.136320084350135,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.9, 'e': 0.00021626297577854672}",25,6,34.75322034875135,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.9, 'e': 0.00021003990758244065}",30,10,35.870241123285155,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.9, 'e': 0.00020408163265306123}",20,6,25.996083694229934,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.9, 'e': 0.00019837333862328903}",20,9,11.728239011030269,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.9, 'e': 0.00019290123456790122}",25,5,31.36221142135327,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.9, 'e': 0.00018765246762994934}",20,3,32.367215711201894,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.9, 'e': 0.00018261504747991235}",25,10,28.150338569341713,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.9, 'e': 0.00017777777777777779}",30,22,13.503308112169515,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.9, 'e': 0.00017313019390581717}",20,7,25.12015712823224,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.9, 'e': 0.00016866250632484398}",30,18,21.886229587222218,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.9, 'e': 0.0001643655489809336}",25,18,10.396137076194554,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.9, 'e': 0.0001602307322544464}",25,11,24.876731431437154,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.9, 'e': 0.00015625}",25,8,6.297426884561986,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
81,False,"{'a': 0.9, 'e': 0.00015241579027587258}",30,16,2.2876237287075196,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
82,False,"{'a': 0.9, 'e': 0.000148720999405116}",20,16,6.230509571932499,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.9, 'e': 0.00014515894904920887}",20,6,21.920750175870406,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.9, 'e': 0.0001417233560090703}",30,21,17.062642896009194,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.9, 'e': 0.0001384083044982699}",20,7,26.85223844218994,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.9, 'e': 0.00013520822065981613}",25,11,-15.5691373130813,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
87,False,"{'a': 0.9, 'e': 0.0001321178491214163}",20,12,15.359621696941538,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.9, 'e': 0.00012913223140495868}",30,18,24.04372301274373,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.9, 'e': 0.00012624668602449185}",20,12,14.42594506809178,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.9, 'e': 0.0001234567901234568}",25,15,19.805822216099163,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
